protocolSection_identificationModule_nctId,protocolSection_identificationModule_briefTitle,protocolSection_statusModule_overallStatus,protocolSection_statusModule_startDateStruct_date,protocolSection_statusModule_studyFirstPostDateStruct_date,protocolSection_sponsorCollaboratorsModule_leadSponsor_name,protocolSection_sponsorCollaboratorsModule_leadSponsor_class,protocolSection_conditionsModule_conditions_0,protocolSection_designModule_studyType,protocolSection_eligibilityModule_sex,protocolSection_eligibilityModule_minimumAge,protocolSection_eligibilityModule_stdAges_0,protocolSection_contactsLocationsModule_locations_0_city,protocolSection_contactsLocationsModule_locations_0_country,hasResults,protocolSection_armsInterventionsModule_interventions_0_name
NCT06326034,Impact of Dapagliflozin as Add-on Therapy on Glycemic Status and Quality of Life in Type 2 Diabetic Patients,COMPLETED,2022-05-01,2024-03-22,Mohammed Mahmood Mohammed,OTHER,Diabetic Nephropathy Type 2,INTERVENTIONAL,ALL,18 Years,ADULT,Baghdad,Iraq,False,Dapagliflozin
NCT01281098,"Prospective, Randomized, Open Label, Phase II Study to Assess Efficacy and Safety of Macugen® (Pegaptanib 0.3 mg Intravitreal Injections) Plus Panretinal Photocoagulation and PRP (Monotherapy) in the Treatment With High Risk PDR.",COMPLETED,2010-03,2011-01-21,Association for Innovation and Biomedical Research on Light and Image,OTHER,High Risk Proliferative Diabetic Retinopathy,INTERVENTIONAL,ALL,18 Years,ADULT,Coimbra,Portugal,False,Panretinal Photocoagulation (PRP)
NCT05521256,A Research Study of a New Medicine NNC0113-6856 in Healthy Males,COMPLETED,2022-08-26,2022-08-30,Novo Nordisk A/S,INDUSTRY,Healthy Volunteers,INTERVENTIONAL,MALE,18 Years,ADULT,Neuss,Germany,False,NNC0113-6856
NCT00389350,Effect of an Extract of Green Tea on Adults With Type 2 Diabetes,COMPLETED,2005-08,2006-10-18,Dartmouth-Hitchcock Medical Center,OTHER,Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Lebanon,United States,False,Extract of Green and Black Tea
NCT00927524,Insulin Exposure and Glucose Response to Meals in Type 1 Diabetic Subjects Administered Two Different Insulin Regimens Compared to the Endogenous Insulin Exposure and Glucose Response to Meals In Healthy Adult Controls,COMPLETED,2005-04,2009-06-25,Vanderbilt University,OTHER,Type 1 Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,,,False,Insulin glulisine
NCT04190212,The Effect of High-Intensity Interval Training on Glucose Variability and Atrial Fibrillation Symptoms,COMPLETED,2021-11-18,2019-12-09,Ottawa Heart Institute Research Corporation,OTHER,Atrial Fibrillation,INTERVENTIONAL,ALL,40 Years,ADULT,Ottawa,Canada,False,High-intensity interval training + standard care
NCT04767750,Role of LncRNA H19 in The Regulation of IGF-1R Expression,COMPLETED,2020-01-01,2021-02-23,Mansoura University,OTHER,Hepatocellular Carcinoma,OBSERVATIONAL,ALL,40 Years,ADULT,Mansoura,Egypt,False,Blood sample collection
NCT02467478,Linagliptin's Effect on CD34+ Stem Cells,COMPLETED,2015-04,2015-06-10,George Washington University,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,30 Years,ADULT,Washington,United States,True,Linagliptin
NCT03031886,Energy Flux and Fat Oxidation Using Low and High Glycaemic Index Foods,COMPLETED,2016-01-20,2017-01-26,Singapore Institute of Food and Biotechnology Innovation,OTHER_GOV,Type 2 Diabetes,INTERVENTIONAL,MALE,21 Years,ADULT,Singapore,Singapore,False,low glycaemic index intervention
NCT04056208,"Pistachios Blood Sugar Control, Heart and Gut Health",COMPLETED,2019-09-09,2019-08-14,Penn State University,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,30 Years,ADULT,University Park,United States,False,Pistachio
NCT03344692,Effect of Alirocumab on Postprandial Hyperlipemia in Patients With Type 2 Diabetes,COMPLETED,2019-02-12,2017-11-17,Nantes University Hospital,OTHER,Type2 Diabetes,INTERVENTIONAL,MALE,18 Years,ADULT,Nantes,France,False,Alirocumab
NCT02029924,"A Double-blinded, Randomised, Two -Period Crossover Euglycemic Clamp Trial Investigating the Pharmacokinetics, Glucodynamics and Safety of BioChaperone Insulin Lispro and Insulin Lispro (Humalog®) in Subjects With Type 1 Diabetes",COMPLETED,2013-12,2014-01-08,Adocia,INDUSTRY,Diabetes Mellitus Type 1,INTERVENTIONAL,MALE,18 Years,ADULT,Neuss,Germany,False,BioChaperone insulin lispro
NCT01136798,Impact of Exenatide on Sleep in Type 2 Diabetes,COMPLETED,2010-06-01,2010-06-03,University of Chicago,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Chicago,United States,True,Exenatide
NCT05654285,Enteroendocrine Hormonal Response After the Ingestion of Cola Beverages With Sucrose and Non-nutritive Sweeteners,COMPLETED,2016-02-08,2022-12-16,Hospital Infantil de Mexico Federico Gomez,OTHER,Obesity,INTERVENTIONAL,ALL,18 Years,ADULT,,,False,Cola beverage with aspartame and acesulfame K
NCT05409027,A Study to Assess 11 Beta-hydroxysteroid Dehydrogenase Type 1 Inhibition in Adipose Tissue by SPI-62,COMPLETED,2021-07-23,2022-06-07,Sparrow Pharmaceuticals,INDUSTRY,Type 2 Diabetes Mellitus in Obese,INTERVENTIONAL,ALL,18 Years,ADULT,Chula Vista,United States,False,SPI-62
NCT03623139,Effects of Basic Carbohydrate Counting Versus Standard Outpatient Nutritional Education in Type 2 Diabetes,COMPLETED,2018-09-28,2018-08-09,Steno Diabetes Center Copenhagen,OTHER,Type2 Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Herlev,Denmark,False,Standard nutritional education
NCT00964964,"A Trial Assessing Changes in Blood Sugar and the Number of Periods Where Supplementation of Carbohydrate is Needed to Treat Low Blood Sugar, During Two Different Treatment Regimens of NN1250 in Type 1 Diabetics",COMPLETED,2009-08,2009-08-25,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Neuss,Germany,False,insulin degludec
NCT00226902,Vascular Reactivity in Kidney Disease Patients,COMPLETED,2006-09,2005-09-27,Melbourne Health,OTHER,"Kidney Failure, Chronic",INTERVENTIONAL,ALL,18 Years,ADULT,Melbourne,Australia,False,Changing hemoglobin concentration
NCT02444156,Rowing Away From Diabetes,COMPLETED,2015-06,2015-05-14,University of Leicester,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,45 Years,ADULT,Leicester,United Kingdom,False,Indoor rowing
NCT04389775,"To Evaluate the Safety, Tolerability, PK, and PD of XW003 Injection in Healthy Adult Participants",COMPLETED,2020-03-29,2020-05-15,Sciwind Biosciences APAC CO Pty. Ltd.,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Melbourne,Australia,False,Cohort A
NCT00141453,ORIENT: Olmesartan Reducing Incidence of End Stage Renal Disease in Diabetic Nephropathy Trial,COMPLETED,2003-04,2005-09-01,"Daiichi Sankyo Co., Ltd.",INDUSTRY,Diabetic Nephropathy,INTERVENTIONAL,ALL,30 Years,ADULT,Hong Kong,China,True,olmesartan medoxomil
NCT01277913,"The Effect of Supplementation With Two Different Doses of Vitamin D on Bone Mineral Density, Vitamin D Levels and Hand Grip Strength in Children With Diabetes Mellitus Type 1",COMPLETED,2011-01,2011-01-17,Medical University of Warsaw,OTHER,Diabetes Mellitus Type 1,INTERVENTIONAL,ALL,8 Years,CHILD,Warsaw,Poland,False,Vitamin D3
NCT04017221,Safety of Sodium-glucose Cotransporter 2 (SGLT2) Inhibitors Among Patients with Type 2 Diabetes,COMPLETED,2018-10-01,2019-07-12,"Canadian Network for Observational Drug Effect Studies, CNODES",OTHER,"Diabetes Mellitus, Type 2",OBSERVATIONAL,ALL,18 Years,ADULT,Montreal,Canada,False,Sodium-glucose cotransporter 2 (SGLT2) inhibitors
NCT01595789,The Effect of Liraglutide on the Treatment of Coronary Artery Disease and Type 2 Diabetes,COMPLETED,2012-05,2012-05-10,"Haugaard, Steen Bendix, M.D., DMSc",INDIV,Coronary Artery Disease,INTERVENTIONAL,ALL,18 Years,ADULT,Copenhagen,Denmark,False,Liraglutide
NCT03753087,Effects of Empagliflozin on Exercise Capacity and Left Ventricular Diastolic Function in Patients With Heart Failure With Preserved Ejection Fraction and Type-2 Diabetes Mellitus,COMPLETED,2019-01-16,2018-11-26,"National Medical Research Center for Cardiology, Ministry of Health of Russian Federation",OTHER_GOV,"Heart Failure, Diastolic",INTERVENTIONAL,ALL,45 Years,ADULT,Moscow,Russian Federation,False,Empagliflozin
NCT04268212,An Alternative Approach to Improve Hyperglycemia Among Type 2 Diabetes Patients,COMPLETED,2016-04-15,2020-02-13,Arizona State University,OTHER,Type2 Diabetes,INTERVENTIONAL,ALL,20 Years,ADULT,,,False,Bitter melon juice (100 ml)
NCT00837408,Genetics of Type 2 Diabetes Among Han Chinese,COMPLETED,2009-02-03,2009-02-05,National Human Genome Research Institute (NHGRI),NIH,Diabetes,OBSERVATIONAL,ALL,25 Years,ADULT,Suizhou,China,False,
NCT01168076,Noninvasive Transcutaneous Glucometer Development,COMPLETED,2001-12,2010-07-22,InLight Solutions,INDUSTRY,Healthy,OBSERVATIONAL,ALL,18 Years,ADULT,Albuquerque,United States,False,
NCT05691452,Technology Based Sedentary Reduction Intervention in Patients With Type 2 Diabetes,COMPLETED,2023-01-24,2023-01-20,Vanderbilt University,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Nashville,United States,False,Sit Less Program
NCT05239572,Scaling Up NCD Interventions in South East Asia,COMPLETED,2022-03-31,2022-02-15,University Medical Center Groningen,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,21 Years,ADULT,Hanoi,Vietnam,False,"screening, prevention and counselling"
NCT06469658,Personalized Management of Type 2 Diabetes Using AI-Guided (GenAIS TM) Dietary Supplementation,COMPLETED,2024-02-02,2024-06-21,S.LAB (SOLOWAYS),OTHER,Diabetes,INTERVENTIONAL,ALL,40 Years,ADULT,Novosibirsk,Russian Federation,False,The standard practice dietary supplements intervention
NCT02027571,Pathobiology and Reversibility of Prediabetes in a Biracial Cohort,COMPLETED,2013-10,2014-01-06,University of Tennessee,OTHER,Prediabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Memphis,United States,False,Intensive Lifestyle Intervention (ILI)
NCT00770445,Efficacy of Pioglitazone and Metformin on Cardiovascular Risk in Subjects With Insulin-Treated Type 2 Diabetes Mellitus.,COMPLETED,2008-05,2008-10-10,Takeda,INDUSTRY,Diabetes Mellitus,INTERVENTIONAL,ALL,30 Years,ADULT,Lichtenfels,Germany,False,Pioglitazone and insulin
NCT06228898,Changes in Hematological Parameters With Glycemia Control in Type 2 Diabetes,COMPLETED,2022-01-15,2024-01-29,Goztepe Prof Dr Suleyman Yalcın City Hospital,OTHER,Poorly Controlled Diabetes Mellitus,OBSERVATIONAL,ALL,30 Years,ADULT,Istanbul,Turkey,False,
NCT02603510,Assessment of the Safety of SAR342434 and Humalog® When Administered as Continuous Subcutaneous Insulin Infusion,COMPLETED,2015-11,2015-11-11,Sanofi,INDUSTRY,Type 1 Diabetes Mellitus,INTERVENTIONAL,ALL,19 Years,ADULT,Little Rock,United States,False,SAR342434
NCT02996539,Heart Rate Variability and Diabetic Kidney Disease in Type 2 Diabetes Mellitus Patients,COMPLETED,2013-02,2016-12-19,"Shi wei, MM",OTHER,Type2 Diabetes Mellitus,OBSERVATIONAL,ALL,18 Years,ADULT,Kunming,China,False,Clinical examination and laboratory measurements
NCT00818779,Direct Renin Inhibition Effects on Atherosclerotic Biomarkers,COMPLETED,2008-01,2009-01-08,Texas Tech University Health Sciences Center,OTHER,Coronary Artery Disease,INTERVENTIONAL,ALL,18 Years,ADULT,Lubbock,United States,True,Aliskiren
NCT02631083,The Influence of Glucose Flux on Fat Synthesis in a Whole Body Calorimeter,COMPLETED,2014-11-14,2015-12-15,Singapore Institute of Food and Biotechnology Innovation,OTHER_GOV,"Type 2 Diabetes, Obesity, Prediabetes",INTERVENTIONAL,MALE,21 Years,ADULT,,,False,"Breakfast, lunch, snack and dinner"
NCT01891786,Coronary Heart Disease Risk in Type 2 Diabetes,COMPLETED,2013-07,2013-07-03,"City, University of London",OTHER,Coronary Heart Disease,INTERVENTIONAL,ALL,25 Years,ADULT,Harlow,United Kingdom,False,Self-Management Intervention
NCT01220349,Alteration of Myocardial Deformations in Diabetes: Relationship to Micro-angiopathy,COMPLETED,2011-01,2010-10-13,"University Hospital, Bordeaux",OTHER,"Diabetes Mellitus, Type 1",INTERVENTIONAL,ALL,18 Years,ADULT,Pessac,France,False,Echocardiographic 2D strain analysis
NCT02201199,Single Dose Clamp Study To Compare Concentration/Time Profile And Metabolic Activity Profile Of 2 New Formulations Of Insulin Glargine With Lantus,COMPLETED,2014-08,2014-07-25,Sanofi,INDUSTRY,Type 1 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Neuss,Germany,False,insulin glargine U200 HOE901
NCT01452451,"Safety, Tolerability, Pharmacokinetics,Pharmacodynamics Study of LAPS-Exendin in Subjects of Type 2 Diabetes Mellitus",COMPLETED,2011-12,2011-10-14,Hanmi Pharmaceutical Company Limited,INDUSTRY,Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Ohio,United States,False,HM11260C
NCT02863523,COMRADE: Collaborative Care Management for Distress and Depression in Rural Diabetes,COMPLETED,2014-09,2016-08-11,East Carolina University,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,19 Years,ADULT,Greenville,United States,True,Integrated Behavioral Care
NCT00770835,Efficacy and Safety of Pioglitazone in Treating Subjects With Vascular Complications Associated With Type 2 Diabetes Mellitus.,COMPLETED,2009-03,2008-10-10,Takeda,INDUSTRY,Diabetes Mellitus,INTERVENTIONAL,ALL,40 Years,ADULT,Padova,Italy,False,Pioglitazone and Metformin
NCT04878406,A Research Study of How the Medicine NNC0480-0389 Taken With Semaglutide Works in the Body of Healthy Japanese Men,COMPLETED,2021-05-18,2021-05-07,Novo Nordisk A/S,INDUSTRY,Healthy Volunteers Type 2 Diabetes,INTERVENTIONAL,MALE,20 Years,ADULT,Fukuoka,Japan,False,NNC0480-0389
NCT04115592,"The Effect of Different States of Lipid in Food on Glycaemia, Lipaemia and Insulinaemia.",COMPLETED,2019-02-20,2019-10-04,Singapore Institute of Food and Biotechnology Innovation,OTHER_GOV,"Diabetes Mellitus, Type 2",INTERVENTIONAL,MALE,21 Years,ADULT,Singapore,Singapore,False,Cocoa butter
NCT04568382,Diabetes Communication and Treatment Burden,COMPLETED,2020-10-12,2020-09-29,"University of California, Davis",OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,18 Years,ADULT,Sacramento,United States,False,CI-PVP (context-informed pre-visit planning)
NCT05865717,Lifestyle Practices With Chronic Diseases Among Different Professionals,COMPLETED,2023-02-15,2023-05-19,"Health Services Academy, Islamabad, Pakistan",OTHER,Chronic Diseases in Adolescence,OBSERVATIONAL,ALL,30 Years,ADULT,Islamabad,Pakistan,False,Quantitative sampling
NCT02128854,Tablet-Aided BehavioraL Intervention EffecT on Self-management Skills,COMPLETED,2014-08-14,2014-05-01,Medical University of South Carolina,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,45 Years,ADULT,Charleston,United States,False,Tablets Intervention
NCT00482183,Comparison Between Pioglitazone and SES With type2 DM,COMPLETED,2003-07,2007-06-05,Showa University,OTHER,Coronary Artery Disease,INTERVENTIONAL,ALL,20 Years,ADULT,,,False,Pioglitazone
NCT04298970,Novel Organic Kale Products for Prevention of Obesity/Type 2 Diabetes,COMPLETED,2020-03-03,2020-03-06,University of Aarhus,OTHER,Type2 Diabetes,INTERVENTIONAL,ALL,30 Years,ADULT,Aarhus C,Denmark,False,Intervention
NCT01826409,Hypoglycemic Effects of Fermented Red Ginseng in Subject With Impaired Fasting Glucose or Type 2 Diabetes,COMPLETED,2008-03,2013-04-08,Chonbuk National University Hospital,OTHER,Impaired Glucose or Type 2 Diabetes,INTERVENTIONAL,ALL,20 Years,ADULT,Jeonju,"Korea, Republic of",False,Fermented Red Ginseng
NCT00814294,Study of Two Doses of Oral HDV-Insulin and Placebo With Background Metformin Treatment in Patients With Type 2 Diabetes Mellitus,COMPLETED,2008-12,2008-12-24,Diasome Pharmaceuticals,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Muscle Shoals,United States,False,placebo
NCT03868813,An Artificial Intelligence Assisted Telehealth Intervention to Promote Self-Management in Patients With Type 2 Diabetes Mellitus (Qualitative Interview),COMPLETED,2019-07-01,2019-03-11,University of Alabama at Birmingham,OTHER,Diabetes Mellitus,OBSERVATIONAL,ALL,18 Years,ADULT,Birmingham,United States,False,Semi-structured Interview
NCT02506647,PK/PD Study of Gan & Lee's Insulin Glargine Injection in Comparison to Lantus in Type 1 Diabetes,COMPLETED,2015-12,2015-07-23,"Gan and Lee Pharmaceuticals, USA",INDUSTRY,"Diabetes Mellitus, Type 1",INTERVENTIONAL,ALL,18 Years,ADULT,San Diego,United States,False,Gan & Lee insulin glargine followed by Lantus
NCT02920918,Treatment of Diabetes in Patients With Systolic Heart Failure,COMPLETED,2016-10,2016-09-30,Virginia Commonwealth University,OTHER,"Heart Failure, Systolic",INTERVENTIONAL,ALL,18 Years,ADULT,Richmond,United States,True,Canagliflozin
NCT01857167,Effect of Omega-3 Fatty Acids on Insulin Sensitivity in Chinese Type 2 Diabetic Patients,COMPLETED,2013-06,2013-05-20,Zhejiang University,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,35 Years,ADULT,Hangzhou,China,False,Fish Oil Supplementation
NCT02340507,The Impact of the Glycaemic Index (GI) on Daily Blood Glucose Profiles and Food Intake in Young Chinese Adult Males,COMPLETED,2013-05,2015-01-16,Singapore Institute of Food and Biotechnology Innovation,OTHER_GOV,Type 2 Diabetes,INTERVENTIONAL,MALE,21 Years,ADULT,,,False,Rice and bread (high GI)
NCT03010683,"Effects of Agonists of Glucagon Like Peptide - 1 Receptors (GLP-1R) on Arterial Stiffness, Endothelial Glycocalyx and Coronary Flow Reserve in Patients With Coronary Artery Disease and Patients With Diabetes Mellitus",COMPLETED,2015-11,2017-01-05,University of Athens,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Athens,Greece,True,Liraglutide
NCT04676906,A Study Investigating the Distribution and Metabolism of Three 14C-labeled Radioactive Study Compounds,COMPLETED,2020-11-26,2020-12-21,Novo Nordisk A/S,INDUSTRY,Healthy Volunteers,INTERVENTIONAL,MALE,18 Years,ADULT,Groningen,Netherlands,False,NNC0113-6861
NCT00057304,"Study to Determine the Efficacy, Safety, Tolerability & Pharmacokinetics of RO 205-2349 in Patients With Type 2 Diabetes Mellitus",COMPLETED,2003-06,2003-04-01,Hoffmann-La Roche,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,35 Years,ADULT,Hollywood,United States,False,RO 205-2349
NCT02610088,Effect of Dapagliflozin on Vascular Functions in Patients With Type 2 Diabetes Compared to Gliclazide,COMPLETED,2015-11,2015-11-20,Seoul National University Bundang Hospital,OTHER,Diabetes,INTERVENTIONAL,ALL,40 Years,ADULT,Seongnam,"Korea, Republic of",False,Dapagliflozin
NCT02851745,Effects of Linagliptin on Left Ventricular Myocardial DYsfunction in Patients With Type 2 DiAbetes Mellitus and Concentric Left Ventricular Geometry,COMPLETED,2015-07,2016-08-02,Heart Care Foundation,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,40 Years,ADULT,Bergamo,Italy,False,Linagliptin
NCT02139943,A Study of Effects of Canagliflozin as Add-on Therapy to Insulin in the Treatment of Participants With Type 1 Diabetes Mellitus (T1DM),COMPLETED,2014-05,2014-05-16,"Janssen Research & Development, LLC",INDUSTRY,"Diabetes Mellitus, Type 1",INTERVENTIONAL,ALL,25 Years,ADULT,Little Rock,United States,True,Canagliflozin 100 mg
NCT02798250,Safety of Overestimation of a Meal Insulin Bolus in the Context of Dual-hormone Closed-loop Operation - Part 2,COMPLETED,2016-06,2016-06-14,Institut de Recherches Cliniques de Montreal,OTHER,Type 1 Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Montreal,Canada,False,Dual-hormone closed-loop
NCT02218138,Learning to BREATHE: A Randomized Controlled Trial to Lower Diabetes Risk in Adolescent Girls,COMPLETED,2013-01,2014-08-15,Colorado State University,OTHER,Type 2 Diabetes,INTERVENTIONAL,FEMALE,12 Years,CHILD,Fort Collins,United States,False,Learning 2 BREATHE
NCT04534439,"Safety, Tolerability and Renal Effects of APX-115 in Subjects With Type 2 Diabetes and Nephropathy",COMPLETED,2020-08-24,2020-09-01,"Aptabio Therapeutics, Inc.",INDIV,Diabetic Nephropathies,INTERVENTIONAL,ALL,18 Years,ADULT,Pleven,Bulgaria,False,APX-115
NCT02535169,Lifestyle-Related Health Outcomes in Prediabetes and Diabetes,COMPLETED,2014-05,2015-08-28,Indiana University,OTHER,Obesity,INTERVENTIONAL,ALL,10 Years,CHILD,Indianapolis,United States,False,Health Education and Coaching Strategy
NCT02588898,B-Vitamins and Polyneuropathy in Patients With Type 2 Diabetes,COMPLETED,2009-09,2015-10-28,Universität des Saarlandes,OTHER,Diabetes Complications,OBSERVATIONAL,ALL,50 Years,ADULT,Homburg,Germany,False,Blood collection and electrophysiological tests
NCT04513704,A Clinical Trial Comparing Semaglutide in Healthy People Who Eat and Take the Medicine at Different Times,COMPLETED,2020-08-28,2020-08-14,Novo Nordisk A/S,INDUSTRY,Healthy Volunteers Type 2 Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Harrow,United Kingdom,False,Oral Semaglutide
NCT03487029,High-intensity Interval Training Training Protocols on Cardiorespiratory Parameters in Patients With Type 2 Diabetes,COMPLETED,2018-03-02,2018-04-03,Hacettepe University,OTHER,Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Ankara,Turkey,False,Short duration
NCT02383940,Efficacy and Safety of Sotagliflozin in Young Adult Patients With Type 1 Diabetes Mellitus and Elevated Hemoglobin A1C,COMPLETED,2015-04,2015-03-10,Lexicon Pharmaceuticals,INDUSTRY,Type 1 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Tustin,United States,True,Sotagliflozin
NCT05597605,The SHINE Study: Safety of Implant and Preliminary Performance of the SHINE SYSTEM in Diabetic Subjects,COMPLETED,2022-09-21,2022-10-28,Indigo Diabetes NV,INDUSTRY,Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Antwerp,Belgium,False,The SHINE SYSTEM
NCT03630458,Digestive Properties of Carbohydrate-based Foods,COMPLETED,2018-06-11,2018-08-14,Purdue University,OTHER,Obesity,INTERVENTIONAL,ALL,18 Years,ADULT,West Lafayette,United States,False,Pearl millet couscous - made in Senegal
NCT03630445,Slowly Digestible Carbohydrates and the Ileal Brake,COMPLETED,2015-06-02,2018-08-14,Purdue University,OTHER,Obesity,INTERVENTIONAL,ALL,18 Years,ADULT,West Lafayette,United States,False,Isomaltooligosaccharides (IMOs)
NCT03630263,This Study Assessed the Impact of Diet on Gastric Emptying Time and Metabolic Flexibility,COMPLETED,2019-05-01,2018-08-14,Purdue University,OTHER,Obesity,INTERVENTIONAL,ALL,18 Years,ADULT,West Lafayette,United States,False,Raw Corn Starch
NCT02500979,Effect of a Fixed Pramlintide: Insulin Dose Ratio on Postprandial Glucose in Type 1 Diabetes Mellitus,COMPLETED,2015-08-17,2015-07-17,AstraZeneca,INDUSTRY,Type 1 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Chula Vista,United States,True,Pramlintide acetate
NCT05703880,An Observational Study Called FIRST-2.0 to Learn More About the Use of the Study Treatment Finerenone Including How Safe it is and How Well it Works Under Real-world Conditions,COMPLETED,2023-06-01,2023-01-30,Bayer,INDUSTRY,Chronic Kidney Disease,OBSERVATIONAL,ALL,18 Years,ADULT,Boston,United States,False,"Finerenone (Kerendia, BAY948862)"
NCT00135941,Insulin Glargine Plus Insulin Glulisine Multiple Daily Injections (MDI) Versus Premix Insulin Treatment in Subjects With Diabetes Mellitus (Type 1 or Type 2),COMPLETED,2005-08,2005-08-26,Sanofi,INDUSTRY,Diabetes Mellitus,INTERVENTIONAL,ALL,21 Years,ADULT,Milwaukee,United States,False,insulin glargine
NCT02045563,"Genetic Polymorphisms, Steatosis and Diabetes",COMPLETED,2007-10-15,2014-01-27,Centre Hospitalier Universitaire Dijon,OTHER,Type 1 and 2 Diabetes,OBSERVATIONAL,ALL,18 Years,ADULT,Dijon,France,False,prise de sang
NCT04123054,A Novel mHealth Application Guided by an Optimization Algorithm for T1D Sensor-Augmented Insulin Injection Users,COMPLETED,2020-03-05,2019-10-10,McGill University,OTHER,Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Montreal,Canada,False,Mobile App
NCT01891474,Efficacy and Safety of Voice Inception Technique Based U-healthcare Service in Patients With Type 2 Diabetes Mellitus,COMPLETED,2013-08,2013-07-03,Seoul National University Bundang Hospital,OTHER,Diabetes,INTERVENTIONAL,ALL,60 Years,ADULT,Seongnam,"Korea, Republic of",False,U-health care
NCT03152994,The Early Predictors for Developing Type 2 Diabetes Mellitus in Patients With Chronic Obstructive Pulmonary Disease,COMPLETED,2017-04-01,2017-05-15,Zhujiang Hospital,OTHER,Chronic Obstructive Pulmonary Disease,OBSERVATIONAL,ALL,,CHILD,Guangzhou,China,False,Checking fasting blood glucose(FBG)
NCT01379690,Retrospective Study: Hip Fractures in Diabetic Patients,COMPLETED,2011-04,2011-06-23,Changi General Hospital,OTHER,Type 2 Diabetes,OBSERVATIONAL,ALL,,CHILD,Singapore,Singapore,False,HBA1C
NCT03501511,Health Education During Ramadan Fasting in Type 1 Diabetes,COMPLETED,2018-04-07,2018-04-18,Ain Shams University,OTHER,"Diabetes Mellitus, Type 1",INTERVENTIONAL,ALL,16 Years,CHILD,Cairo,Egypt,False,IDF modules
NCT00721084,Fitness and Sleep in People With Family History of Type 2 Diabetes.,COMPLETED,2008-07,2008-07-23,University of Chicago,OTHER,Sleep,OBSERVATIONAL,ALL,21 Years,ADULT,Chicago,United States,False,
NCT02528396,To Investigate the Efficacy and Safety of Individualized Doses of BioChaperone Insulin Lispro in Comparison to Humalog® U-100 in Patients With Type 1 Diabetes Mellitus,COMPLETED,2015-08,2015-08-19,Adocia,INDUSTRY,Type 1 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Neuss,Germany,False,BioChaperone insulin lispro
NCT01742208,Safety and Efficacy of Sotagliflozin (LX4211) in Patients With Inadequately Controlled Type 1 Diabetes Mellitus,COMPLETED,2013-02,2012-12-05,Lexicon Pharmaceuticals,INDUSTRY,Type 1 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Aurora,United States,True,Sotagliflozin
NCT03467659,"Whole Grains, Gastric Emptying and Glycemic Response",COMPLETED,2017-02-16,2018-03-16,Purdue University,OTHER,Obesity,INTERVENTIONAL,ALL,18 Years,ADULT,West Lafayette,United States,False,Cracked whole wheat porridge
NCT00184665,Comparison of Insulin Detemir With NPH Insulin in Type 1 Diabetes,COMPLETED,2004-06,2005-09-16,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Buenos Aires,Argentina,False,insulin detemir
NCT03376789,Mylan Insulin Glargine Study,COMPLETED,2017-11-29,2017-12-18,Mylan Inc.,INDUSTRY,"Diabetes Mellitus, Type 1",INTERVENTIONAL,ALL,18 Years,ADULT,Fresno,United States,True,MYL-1501D product using manufacture process V
